Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
"hi, how are you doing?",i'm fine. how about yourself?,"hi , how are you doing ?",i ' m fine . how about yourself ?,i ' m fine . how about yourself ?,24,33
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,i ' m fine . how about yourself ?,i ' m pretty good . thanks for asking .,i ' m pretty good . thanks for asking .,33,39
i'm pretty good. thanks for asking.,no problem. so how have you been?,i ' m pretty good . thanks for asking .,no problem . so how have you been ?,no problem . so how have you been ?,39,35
no problem. so how have you been?,i've been great. what about you?,no problem . so how have you been ?,i ' ve been great . what about you ?,i ' ve been great . what about you ?,35,36
i've been great. what about you?,i've been good. i'm in school right now.,i ' ve been great . what about you ?,i ' ve been good . i ' m in school right now .,i ' ve been good . i ' m in school right now .,36,46
i've been good. i'm in school right now.,what school do you go to?,i ' ve been good . i ' m in school right now .,what school do you go to ?,what school do you go to ?,46,26
what school do you go to?,i go to pcc.,what school do you go to ?,i go to pcc .,i go to pcc .,26,13
i go to pcc.,do you like it there?,i go to pcc .,do you like it there ?,do you like it there ?,13,22
do you like it there?,it's okay. it's a really big campus.,do you like it there ?,it ' s okay . it ' s a really big campus .,it ' s okay . it ' s a really big campus .,22,42
it's okay. it's a really big campus.,good luck with school.,it ' s okay . it ' s a really big campus .,good luck with school .,good luck with school .,42,23
good luck with school.,thank you very much.,good luck with school .,thank you very much .,thank you very much .,23,21
how's it going?,i'm doing well. how about you?,how ' s it going ?,i ' m doing well . how about you ?,i ' m doing well . how about you ?,18,34
i'm doing well. how about you?,"never better, thanks.",i ' m doing well . how about you ?,"never better , thanks .","never better , thanks .",34,23
"never better, thanks.",so how have you been lately?,"never better , thanks .",so how have you been lately ?,so how have you been lately ?,23,29
so how have you been lately?,i've actually been pretty good. you?,so how have you been lately ?,i ' ve actually been pretty good . you ?,i ' ve actually been pretty good . you ?,29,40
i've actually been pretty good. you?,i'm actually in school right now.,i ' ve actually been pretty good . you ?,i ' m actually in school right now .,i ' m actually in school right now .,40,36
i'm actually in school right now.,which school do you attend?,i ' m actually in school right now .,which school do you attend ?,which school do you attend ?,36,28
which school do you attend?,i'm attending pcc right now.,which school do you attend ?,i ' m attending pcc right now .,i ' m attending pcc right now .,28,31
i'm attending pcc right now.,are you enjoying it there?,i ' m attending pcc right now .,are you enjoying it there ?,are you enjoying it there ?,31,27
are you enjoying it there?,it's not bad. there are a lot of people there.,are you enjoying it there ?,it ' s not bad . there are a lot of people there .,it ' s not bad . there are a lot of people there .,27,50
it's not bad. there are a lot of people there.,good luck with that.,it ' s not bad . there are a lot of people there .,good luck with that .,good luck with that .,50,21
good luck with that.,thanks.,good luck with that .,thanks .,thanks .,21,8
how are you doing today?,i'm doing great. what about you?,how are you doing today ?,i ' m doing great . what about you ?,i ' m doing great . what about you ?,25,36
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",i ' m doing great . what about you ?,"i ' m absolutely lovely , thank you .","i ' m absolutely lovely , thank you .",36,37
"i'm absolutely lovely, thank you.",everything's been good with you?,"i ' m absolutely lovely , thank you .",everything ' s been good with you ?,everything ' s been good with you ?,37,35
everything's been good with you?,i haven't been better. how about yourself?,everything ' s been good with you ?,i haven ' t been better . how about yourself ?,i haven ' t been better . how about yourself ?,35,46
i haven't been better. how about yourself?,i started school recently.,i haven ' t been better . how about yourself ?,i started school recently .,i started school recently .,46,27
i started school recently.,where are you going to school?,i started school recently .,where are you going to school ?,where are you going to school ?,27,31
where are you going to school?,i'm going to pcc.,where are you going to school ?,i ' m going to pcc .,i ' m going to pcc .,31,20
i'm going to pcc.,how do you like it so far?,i ' m going to pcc .,how do you like it so far ?,how do you like it so far ?,20,27
how do you like it so far?,i like it so far. my classes are pretty good right now.,how do you like it so far ?,i like it so far . my classes are pretty good right now .,i like it so far . my classes are pretty good right now .,27,57
i like it so far. my classes are pretty good right now.,i wish you luck.,i like it so far . my classes are pretty good right now .,i wish you luck .,i wish you luck .,57,17
it's an ugly day today.,i know. i think it may rain.,it ' s an ugly day today .,i know . i think it may rain .,i know . i think it may rain .,26,30
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",i know . i think it may rain .,"it ' s the middle of summer , it shouldn ' t rain today .","it ' s the middle of summer , it shouldn ' t rain today .",30,57
"it's the middle of summer, it shouldn't rain today.",that would be weird.,"it ' s the middle of summer , it shouldn ' t rain today .",that would be weird .,that would be weird .,57,21
that would be weird.,"yeah, especially since it's ninety degrees outside.",that would be weird .,"yeah , especially since it ' s ninety degrees outside .","yeah , especially since it ' s ninety degrees outside .",21,55
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.","yeah , especially since it ' s ninety degrees outside .","i know , it would be horrible if it rained and it was hot outside .","i know , it would be horrible if it rained and it was hot outside .",55,67
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ","i know , it would be horrible if it rained and it was hot outside .","yes , it would be .","yes , it would be .",67,19
"yes, it would be. ",i really wish it wasn't so hot every day. ,"yes , it would be .",i really wish it wasn ' t so hot every day .,i really wish it wasn ' t so hot every day .,19,44
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,i really wish it wasn ' t so hot every day .,me too . i can ' t wait until winter .,me too . i can ' t wait until winter .,44,38
