Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
"hi, how are you doing?",i'm fine. how about yourself?,"hi , how are you doing ?",<sos> i ' m fine . how about yourself ? <eos>,i ' m fine . how about yourself ? <eos>,24,45
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,i ' m fine . how about yourself ?,<sos> i ' m pretty good . thanks for asking . <eos>,i ' m pretty good . thanks for asking . <eos>,33,51
i'm pretty good. thanks for asking.,no problem. so how have you been?,i ' m pretty good . thanks for asking .,<sos> no problem . so how have you been ? <eos>,no problem . so how have you been ? <eos>,39,47
no problem. so how have you been?,i've been great. what about you?,no problem . so how have you been ?,<sos> i ' ve been great . what about you ? <eos>,i ' ve been great . what about you ? <eos>,35,48
i've been great. what about you?,i've been good. i'm in school right now.,i ' ve been great . what about you ?,<sos> i ' ve been good . i ' m in school right now . <eos>,i ' ve been good . i ' m in school right now . <eos>,36,58
i've been good. i'm in school right now.,what school do you go to?,i ' ve been good . i ' m in school right now .,<sos> what school do you go to ? <eos>,what school do you go to ? <eos>,46,38
what school do you go to?,i go to pcc.,what school do you go to ?,<sos> i go to pcc . <eos>,i go to pcc . <eos>,26,25
i go to pcc.,do you like it there?,i go to pcc .,<sos> do you like it there ? <eos>,do you like it there ? <eos>,13,34
do you like it there?,it's okay. it's a really big campus.,do you like it there ?,<sos> it ' s okay . it ' s a really big campus . <eos>,it ' s okay . it ' s a really big campus . <eos>,22,54
it's okay. it's a really big campus.,good luck with school.,it ' s okay . it ' s a really big campus .,<sos> good luck with school . <eos>,good luck with school . <eos>,42,35
good luck with school.,thank you very much.,good luck with school .,<sos> thank you very much . <eos>,thank you very much . <eos>,23,33
how's it going?,i'm doing well. how about you?,how ' s it going ?,<sos> i ' m doing well . how about you ? <eos>,i ' m doing well . how about you ? <eos>,18,46
i'm doing well. how about you?,"never better, thanks.",i ' m doing well . how about you ?,"<sos> never better , thanks . <eos>","never better , thanks . <eos>",34,35
"never better, thanks.",so how have you been lately?,"never better , thanks .",<sos> so how have you been lately ? <eos>,so how have you been lately ? <eos>,23,41
so how have you been lately?,i've actually been pretty good. you?,so how have you been lately ?,<sos> i ' ve actually been pretty good . you ? <eos>,i ' ve actually been pretty good . you ? <eos>,29,52
i've actually been pretty good. you?,i'm actually in school right now.,i ' ve actually been pretty good . you ?,<sos> i ' m actually in school right now . <eos>,i ' m actually in school right now . <eos>,40,48
i'm actually in school right now.,which school do you attend?,i ' m actually in school right now .,<sos> which school do you attend ? <eos>,which school do you attend ? <eos>,36,40
which school do you attend?,i'm attending pcc right now.,which school do you attend ?,<sos> i ' m attending pcc right now . <eos>,i ' m attending pcc right now . <eos>,28,43
i'm attending pcc right now.,are you enjoying it there?,i ' m attending pcc right now .,<sos> are you enjoying it there ? <eos>,are you enjoying it there ? <eos>,31,39
are you enjoying it there?,it's not bad. there are a lot of people there.,are you enjoying it there ?,<sos> it ' s not bad . there are a lot of people there . <eos>,it ' s not bad . there are a lot of people there . <eos>,27,62
it's not bad. there are a lot of people there.,good luck with that.,it ' s not bad . there are a lot of people there .,<sos> good luck with that . <eos>,good luck with that . <eos>,50,33
good luck with that.,thanks.,good luck with that .,<sos> thanks . <eos>,thanks . <eos>,21,20
how are you doing today?,i'm doing great. what about you?,how are you doing today ?,<sos> i ' m doing great . what about you ? <eos>,i ' m doing great . what about you ? <eos>,25,48
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",i ' m doing great . what about you ?,"<sos> i ' m absolutely lovely , thank you . <eos>","i ' m absolutely lovely , thank you . <eos>",36,49
"i'm absolutely lovely, thank you.",everything's been good with you?,"i ' m absolutely lovely , thank you .",<sos> everything ' s been good with you ? <eos>,everything ' s been good with you ? <eos>,37,47
everything's been good with you?,i haven't been better. how about yourself?,everything ' s been good with you ?,<sos> i haven ' t been better . how about yourself ? <eos>,i haven ' t been better . how about yourself ? <eos>,35,58
i haven't been better. how about yourself?,i started school recently.,i haven ' t been better . how about yourself ?,<sos> i started school recently . <eos>,i started school recently . <eos>,46,39
i started school recently.,where are you going to school?,i started school recently .,<sos> where are you going to school ? <eos>,where are you going to school ? <eos>,27,43
where are you going to school?,i'm going to pcc.,where are you going to school ?,<sos> i ' m going to pcc . <eos>,i ' m going to pcc . <eos>,31,32
i'm going to pcc.,how do you like it so far?,i ' m going to pcc .,<sos> how do you like it so far ? <eos>,how do you like it so far ? <eos>,20,39
how do you like it so far?,i like it so far. my classes are pretty good right now.,how do you like it so far ?,<sos> i like it so far . my classes are pretty good right now . <eos>,i like it so far . my classes are pretty good right now . <eos>,27,69
i like it so far. my classes are pretty good right now.,i wish you luck.,i like it so far . my classes are pretty good right now .,<sos> i wish you luck . <eos>,i wish you luck . <eos>,57,29
it's an ugly day today.,i know. i think it may rain.,it ' s an ugly day today .,<sos> i know . i think it may rain . <eos>,i know . i think it may rain . <eos>,26,42
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",i know . i think it may rain .,"<sos> it ' s the middle of summer , it shouldn ' t rain today . <eos>","it ' s the middle of summer , it shouldn ' t rain today . <eos>",30,69
"it's the middle of summer, it shouldn't rain today.",that would be weird.,"it ' s the middle of summer , it shouldn ' t rain today .",<sos> that would be weird . <eos>,that would be weird . <eos>,57,33
that would be weird.,"yeah, especially since it's ninety degrees outside.",that would be weird .,"<sos> yeah , especially since it ' s ninety degrees outside . <eos>","yeah , especially since it ' s ninety degrees outside . <eos>",21,67
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.","yeah , especially since it ' s ninety degrees outside .","<sos> i know , it would be horrible if it rained and it was hot outside . <eos>","i know , it would be horrible if it rained and it was hot outside . <eos>",55,79
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ","i know , it would be horrible if it rained and it was hot outside .","<sos> yes , it would be . <eos>","yes , it would be . <eos>",67,31
"yes, it would be. ",i really wish it wasn't so hot every day. ,"yes , it would be .",<sos> i really wish it wasn ' t so hot every day . <eos>,i really wish it wasn ' t so hot every day . <eos>,19,56
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,i really wish it wasn ' t so hot every day .,<sos> me too . i can ' t wait until winter . <eos>,me too . i can ' t wait until winter . <eos>,44,50
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",me too . i can ' t wait until winter .,"<sos> i like winter too , but sometimes it gets too cold . <eos>","i like winter too , but sometimes it gets too cold . <eos>",38,64
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,"i like winter too , but sometimes it gets too cold .",<sos> i ' d rather be cold than hot . <eos>,i ' d rather be cold than hot . <eos>,52,43
i'd rather be cold than hot.,me too.,i ' d rather be cold than hot .,<sos> me too . <eos>,me too . <eos>,31,20
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,it doesn ' t look very nice outside today .,<sos> you ' re right . i think it ' s going to rain later . <eos>,you ' re right . i think it ' s going to rain later . <eos>,43,65
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",you ' re right . i think it ' s going to rain later .,"<sos> in the middle of the summer , it shouldn ' t be raining . <eos>","in the middle of the summer , it shouldn ' t be raining . <eos>",53,69
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,"in the middle of the summer , it shouldn ' t be raining .",<sos> that wouldn ' t seem right . <eos>,that wouldn ' t seem right . <eos>,57,40
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",that wouldn ' t seem right .,"<sos> considering that it ' s over ninety degrees outside , that would be weird . <eos>","considering that it ' s over ninety degrees outside , that would be weird . <eos>",28,87
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.","considering that it ' s over ninety degrees outside , that would be weird .","<sos> exactly , it wouldn ' t be nice if it started raining . it ' s too hot . <eos>","exactly , it wouldn ' t be nice if it started raining . it ' s too hot . <eos>",75,84
