Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
"hi, how are you doing?",i'm fine. how about yourself?,hi how are you doing,<sos> i am fine how about yourself <eos>,i am fine how about yourself <eos>,20,40
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,i am fine how about yourself,<sos> i am pretty good thanks for asking <eos>,i am pretty good thanks for asking <eos>,28,46
i'm pretty good. thanks for asking.,no problem. so how have you been?,i am pretty good thanks for asking,<sos> no problem so how have you been <eos>,no problem so how have you been <eos>,34,43
no problem. so how have you been?,i've been great. what about you?,no problem so how have you been,<sos> i have been great what about you <eos>,i have been great what about you <eos>,31,44
i've been great. what about you?,i've been good. i'm in school right now.,i have been great what about you,<sos> i have been good i am in school right now <eos>,i have been good i am in school right now <eos>,32,53
i've been good. i'm in school right now.,what school do you go to?,i have been good i am in school right now,<sos> what school do you go to <eos>,what school do you go to <eos>,41,36
what school do you go to?,i go to pcc.,what school do you go to,<sos> i go to pcc <eos>,i go to pcc <eos>,24,23
i go to pcc.,do you like it there?,i go to pcc,<sos> do you like it there <eos>,do you like it there <eos>,11,32
do you like it there?,it's okay. it's a really big campus.,do you like it there,<sos> it is okay it is a really big campus <eos>,it is okay it is a really big campus <eos>,20,48
it's okay. it's a really big campus.,good luck with school.,it is okay it is a really big campus,<sos> good luck with school <eos>,good luck with school <eos>,36,33
good luck with school.,thank you very much.,good luck with school,<sos> thank you very much <eos>,thank you very much <eos>,21,31
how's it going?,i'm doing well. how about you?,how is it going,<sos> i am doing well how about you <eos>,i am doing well how about you <eos>,15,41
i'm doing well. how about you?,"never better, thanks.",i am doing well how about you,<sos> never better thanks <eos>,never better thanks <eos>,29,31
"never better, thanks.",so how have you been lately?,never better thanks,<sos> so how have you been lately <eos>,so how have you been lately <eos>,19,39
so how have you been lately?,i've actually been pretty good. you?,so how have you been lately,<sos> i have actually been pretty good you <eos>,i have actually been pretty good you <eos>,27,48
i've actually been pretty good. you?,i'm actually in school right now.,i have actually been pretty good you,<sos> i am actually in school right now <eos>,i am actually in school right now <eos>,36,45
i'm actually in school right now.,which school do you attend?,i am actually in school right now,<sos> which school do you attend <eos>,which school do you attend <eos>,33,38
which school do you attend?,i'm attending pcc right now.,which school do you attend,<sos> i am attending pcc right now <eos>,i am attending pcc right now <eos>,26,40
i'm attending pcc right now.,are you enjoying it there?,i am attending pcc right now,<sos> are you enjoying it there <eos>,are you enjoying it there <eos>,28,37
are you enjoying it there?,it's not bad. there are a lot of people there.,are you enjoying it there,<sos> it is not bad there are a lot of people there <eos>,it is not bad there are a lot of people there <eos>,25,57
it's not bad. there are a lot of people there.,good luck with that.,it is not bad there are a lot of people there,<sos> good luck with that <eos>,good luck with that <eos>,45,31
good luck with that.,thanks.,good luck with that,<sos> thanks <eos>,thanks <eos>,19,18
how are you doing today?,i'm doing great. what about you?,how are you doing today,<sos> i am doing great what about you <eos>,i am doing great what about you <eos>,23,43
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",i am doing great what about you,<sos> i am absolutely lovely thank you <eos>,i am absolutely lovely thank you <eos>,31,44
"i'm absolutely lovely, thank you.",everything's been good with you?,i am absolutely lovely thank you,<sos> everything ' s been good with you <eos>,everything ' s been good with you <eos>,32,45
everything's been good with you?,i haven't been better. how about yourself?,everything ' s been good with you,<sos> i have not been better how about yourself <eos>,i have not been better how about yourself <eos>,33,53
i haven't been better. how about yourself?,i started school recently.,i have not been better how about yourself,<sos> i started school recently <eos>,i started school recently <eos>,41,37
i started school recently.,where are you going to school?,i started school recently,<sos> where are you going to school <eos>,where are you going to school <eos>,25,41
where are you going to school?,i'm going to pcc.,where are you going to school,<sos> i am going to pcc <eos>,i am going to pcc <eos>,29,29
i'm going to pcc.,how do you like it so far?,i am going to pcc,<sos> how do you like it so far <eos>,how do you like it so far <eos>,17,37
how do you like it so far?,i like it so far. my classes are pretty good right now.,how do you like it so far,<sos> i like it so far my classes are pretty good right now <eos>,i like it so far my classes are pretty good right now <eos>,25,65
i like it so far. my classes are pretty good right now.,i wish you luck.,i like it so far my classes are pretty good right now,<sos> i wish you luck <eos>,i wish you luck <eos>,53,27
it's an ugly day today.,i know. i think it may rain.,it is an ugly day today,<sos> i know i think it may rain <eos>,i know i think it may rain <eos>,23,38
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",i know i think it may rain,<sos> it is the middle of summer it should not rain today <eos>,it is the middle of summer it should not rain today <eos>,26,63
"it's the middle of summer, it shouldn't rain today.",that would be weird.,it is the middle of summer it should not rain today,<sos> that would be weird <eos>,that would be weird <eos>,51,31
that would be weird.,"yeah, especially since it's ninety degrees outside.",that would be weird,<sos> yeah especially since it is ninety degrees outside <eos>,yeah especially since it is ninety degrees outside <eos>,19,62
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",yeah especially since it is ninety degrees outside,<sos> i know it would be horrible if it rained and it was hot outside <eos>,i know it would be horrible if it rained and it was hot outside <eos>,50,75
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",i know it would be horrible if it rained and it was hot outside,<sos> yes it would be <eos>,yes it would be <eos>,63,27
"yes, it would be. ",i really wish it wasn't so hot every day. ,yes it would be,<sos> i really wish it was not so hot every day <eos>,i really wish it was not so hot every day <eos>,15,53
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,i really wish it was not so hot every day,<sos> me too i cannot wait until winter <eos>,me too i cannot wait until winter <eos>,41,45
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",me too i cannot wait until winter,<sos> i like winter too but sometimes it gets too cold <eos>,i like winter too but sometimes it gets too cold <eos>,33,60
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,i like winter too but sometimes it gets too cold,<sos> i would rather be cold than hot <eos>,i would rather be cold than hot <eos>,48,43
i'd rather be cold than hot.,me too.,i would rather be cold than hot,<sos> me too <eos>,me too <eos>,31,18
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,it does not look very nice outside today,<sos> you are right i think it is going to rain later <eos>,you are right i think it is going to rain later <eos>,40,59
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",you are right i think it is going to rain later,<sos> in the middle of the summer it should not be raining <eos>,in the middle of the summer it should not be raining <eos>,47,64
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,in the middle of the summer it should not be raining,<sos> that would not seem right <eos>,that would not seem right <eos>,52,37
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",that would not seem right,<sos> considering that it is over ninety degrees outside that would be weird <eos>,considering that it is over ninety degrees outside that would be weird <eos>,25,82
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",considering that it is over ninety degrees outside that would be weird,<sos> exactly it would not be nice if it started raining it is too hot <eos>,exactly it would not be nice if it started raining it is too hot <eos>,70,76
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",exactly it would not be nice if it started raining it is too hot,<sos> i know you are absolutely right <eos>,i know you are absolutely right <eos>,64,43
"i know, you're absolutely right.",i wish it would cool off one day.,i know you are absolutely right,<sos> i wish it would cool off one day <eos>,i wish it would cool off one day <eos>,31,44
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",i wish it would cool off one day,<sos> that is how i feel i want winter to come soon <eos>,that is how i feel i want winter to come soon <eos>,32,57
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",that is how i feel i want winter to come soon,<sos> i enjoy the winter but it gets really cold sometimes <eos>,i enjoy the winter but it gets really cold sometimes <eos>,45,64
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",i enjoy the winter but it gets really cold sometimes,<sos> i know what you mean but i would rather be cold than hot <eos>,i know what you mean but i would rather be cold than hot <eos>,52,68
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,i know what you mean but i would rather be cold than hot,<sos> that is exactly how i feel <eos>,that is exactly how i feel <eos>,56,38
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,i wish it was a nicer day today,<sos> that is true i hope it does not rain <eos>,that is true i hope it does not rain <eos>,31,48
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,that is true i hope it does not rain,<sos> it would not rain in the middle of the summer <eos>,it would not rain in the middle of the summer <eos>,36,57
